id,title,description,status,priority,created_date,resolved_date,resolution
79,compile_semantic_model skip logic conflates Layer A (LLM narrative) with dbt ontology (structural lineage),"compile_semantic_model.py's skip logic conflated two orthogonal context dimensions: Layer A (LLM-synthesized table-level semantic narrative — canonical_alias, typical_filters, common_traps, reference_sql, typical_use_cases) and the dbt ontology layer (dbt_column_lineage — auto-generated column-level structural lineage mapping raw_sap.<t> → staging). The consumer-priority discipline treated 'ontology coverage exists' as sufficient justification to skip Layer A compilation — but empirically the two layers provide non-overlapping context. Investigated 2026-04-24 during BG027 Create S2T prep. EQUI is ontology-covered (13 rows in dbt_column_lineage, all staging-layer, mostly empty descriptions, structural only). A Layer A row would add typical_filters/common_traps/reference_sql/canonical_alias/temporal_coverage_json/typical_values_range_json/natural_thresholds_json — none of which the ontology carries. For BG027's 5 ontology-covered scope tables, the bundle currently carries column-level descriptions (sap_data_dictionary) + DAR evidence + s2t_mapping examples, but no pre-digested table-level narrative. The LLM re-synthesizes reasoning it could read off a Layer A row. The term-analysis context assembler loads static (Layer A) and ontology layers in parallel for create_s2t + pre_s2t_reasoning purposes — verified via LAYER_LOADERS dispatch at _context_assembler.py:1473. No cross-layer suppression; the data gap is purely upstream in compile_semantic_model's skip gate.",resolved,medium,2026-04-24,2026-04-24,Resolves by commit 147b81a. Refactor: remove the has_ontology_coverage skip gate from compile_semantic_model.py main() (only skip condition removed; preserved + DAR-incomplete gates retained as legitimate domain guards). Existing merge logic (final.update(preserved) at line 686) continues to idempotently overlay human-protected rows on top of fresh synthesis and refresh auto_generated rows on recompile. Data_Catalog.py Layer A panel collapses from 3-way (row-exists / ontology-covered / uncovered) to 2-way (row-exists / run-compile prompt). app/_data_catalog_helpers.ontology_covers_table retired (no remaining caller); has_semantic_model_row added. Three new tests assert: compile no longer references has_ontology_coverage; auto_generated rows remain refreshable on recompile; context_assembler bundles both Layer A and ontology for same table when both have rows. The corresponding post-demo roadmap bullet marked resolved inline; Layer B staging-only filter bullet remains open (separate issue).
80,"compile_semantic_model silently degrades to empty-bundle mode on DuckDB connection contention, producing LLM-hallucinated narratives","compile_semantic_model.py silently degrades to empty-bundle mode when assemble_context fails to open its DuckDB connection — usually because Streamlit is running and holding a read-only connection with different configuration. The error surfaces as `WARNING: bundle assembly failed, proceeding with empty bundle: Connection Error: Can't open a connection to same database file with a different configuration than existing connections` printed to stdout only. LLM synthesis proceeds with an empty DAR bundle, so typical_filters / common_traps / typical_values_range_json / natural_thresholds_json / temporal_coverage_json are drawn from LLM general knowledge of SAP table conventions instead of being grounded in actual DAR payloads. The written row has review_state='auto_generated' — no flag distinguishing it from a grounded-compile row. Analyst sees authoritative-looking narrative that may be fabricated. Concrete evidence discovered 2026-04-24 during BG027 Create S2T prep: first compile on raw_sap.equi (streamlit running) produced common_traps='INBDT has 40% null values for startup dates' — actual DAR shows INBDT null_pct=0.0 across 45000 rows (DAR-00114 completeness). The 40% figure was LLM hallucination from SAP training-data patterns, not from project-specific evidence. Severity: high. Degraded rows look correct but are less useful than they appear. Compile UI/toast gives no indication the bundle was empty — the rc=0 return + 'Wrote N rows' message reads as successful.",resolved,high,2026-04-24,2026-04-24,"Fixed by commit 608b941 (conn threading) + d5f9cfb (data: recompile 6 tables with grounded bundles). Root cause was NOT Streamlit contention as initially suspected — it was in-process: compile_semantic_model.main() opens a read-write DuckDB conn at line 719 for the dbt-seed subprocess, then _assemble_bundle called assemble_context() without passing that conn, so assemble_context opened a second read-only conn which conflicts with the read-write one (DuckDB forbids multiple configs per process per DB). assemble_context raised, _assemble_bundle swallowed, LLM synthesized narratives from SAP priors. Fix: thread conn through _assemble_bundle(..., conn=conn) into assemble_context(..., conn=conn) which already supported the optional-conn param (added in an earlier bugfix, never consumed). Regression test at tests/test_compile_semantic_model_merge.py::test_assemble_bundle_accepts_conn_and_avoids_empty_bundle_warning captures stdout + asserts no degradation warning. Verified production impact: EQUI pre-fix reference_sql used WHERE EQART='CPE' (SAP generic); post-fix uses WHERE HERST='Huawei Technologies' (real manufacturer from dimensions DAR top-N). Five BG027 scope tables recompiled; zmm_approval_log backfilled; zphase2_fixture left as-is (dev fixture, DAR-incomplete, not demo-blocker)."
81,Subprocess dbt seed reseed fails silently when parent Python conn holds cpe_analytics.duckdb — class bug across all sync_parquet_and_invalidate consumers,"scripts/_parquet_sync.sync_parquet_and_invalidate reseeds DuckDB via a subprocess `dbt seed --select <seed>` call. On Windows, that subprocess fails with 'IO Error: Cannot open file ...: The process cannot access the file because it is being used by another process' whenever the parent Python process has an open read-write connection to cpe_analytics.duckdb at the moment the subprocess launches — DuckDB's file lock is exclusive. The helper's except block catches the non-zero returncode, prints a WARNING to stderr, and returns early (no parquet export). Parent continues, returns rc=0 because the CSV-level write already succeeded. UI shows success; DuckDB view + parquet stay stale. Today's reproduction (2026-04-24 BG027 Term EDA): scripts/run_term_eda.py:824 calls _tar_writer.write_tar_run while the parent conn opened at line 547 is still held open. write_tar_run invokes sync_parquet_and_invalidate → dbt seed subprocess launches → blocked by parent's file lock → IO Error at 13:49:17 per dbt/logs/dbt.log → WARNING swallowed → CSV has 17 TAR rows for BG027 but DuckDB has 0. Second reseed (for business_glossary via _update_term_status at line 849) happens AFTER conn.close() at line 848, succeeds. Net: BG027.status flipped to ready_for_s2t but TAR evidence invisible in UI. Class bug: every consumer of sync_parquet_and_invalidate is implicitly required to close their cpe_analytics.duckdb conn before the helper runs, without programmatic enforcement. compile_semantic_model.py does this correctly (line 728-729 with inline comment); run_term_eda.py does it for _update_term_status but forgets for write_tar_run; _scope_derivation.py opens read-only which also holds a shared lock blocking subprocess RW. Streamlit is NOT the culprit — app/db.py docstring confirms Streamlit uses `duckdb.connect(':memory:')` + parquet views, never touches cpe_analytics.duckdb. Verified by reproducing the warning with Streamlit stopped.",resolved,high,2026-04-24,2026-04-24,"Resolved by 6-commit sequence: eab30e6 (file #81 open with diagnostic), 94ba7f4 (scripts/audit_csv_duckdb_parity.py + pre-fix baseline), 2b8788c (scripts/_parquet_sync.py Option A rewrite + 6 regression tests covering parent-conn-open path, schema.yml column_types enforcement, no-subprocess guarantee, parquet output, untyped-seed auto-inference with per-column type assertions), 6f0a88a (reconciliation: reseeded the 2 pre-fix divergent seeds via the new helper; all 35 seeds at PARITY; CSV data for today workflow committed), 3b832ed (file follow-up #82 for untyped-seed column_types in schema.yml), and this commit (hash backfill + flip to resolved). Verification: post-fix audit (logs/audit_post_81_fix.json) 35 PARITY / 0 DIVERGENT. BG027 TAR rows visible in DuckDB (17 rows) + status=ready_for_s2t in both CSV and DuckDB. Streamlit architecture confirmed correct and untouched — app/db.py uses duckdb.connect("":memory:"") + parquet views per design."
82,Four critical seeds lack column_types in schema.yml — behavioral dependency on DuckDB read_csv_auto inference,"Four critical seeds used by the term-analysis pipeline + operational flows lack explicit `config.column_types` in dbt/seeds/schema.yml: domain_analysis_results, business_glossary, s2t_mapping, known_issues. After the #81 Option A rewrite (commit 2b8788c), sync_parquet_and_invalidate falls back to DuckDB's read_csv_auto with sample_size=-1 (full-file scan) for untyped seeds. This is strictly at least as good as dbt seed's default partial sniff and handles today's data correctly — verified via commit 6f0a88a reconciliation where all 35 seeds converged to PARITY including the untyped four. However, untyped inference is a behavioral dependency on DuckDB itself. A future DuckDB version changing inference heuristics, or a future seed addition with ambiguous columns (e.g., an all-empty column that had been VARCHAR but is now INTEGER-sniffed, repeating the #73 class), would drift silently. Explicit column_types in schema.yml pin the contract at the project level, independent of DuckDB behavior. Discovered during #81 design review (2026-04-24).",open,medium,2026-04-24,,"Post-demo cleanup. Add `config: column_types:` blocks to dbt/seeds/schema.yml for the four untyped seeds: domain_analysis_results (already has partial coverage via individual column entries but no column_types block — convert to explicit types matching current read_csv_auto inference), business_glossary (id varchar, term_name varchar, status varchar with accepted_values, definition varchar, archive_id varchar, etc.), s2t_mapping (not yet in schema.yml at all — Direction C Commit 6a partially addresses per known_issue #66; this would complete that work), known_issues (id integer or bigint, title varchar, status varchar, priority varchar, created_date date, resolved_date date nullable). Scope estimate: ~120 LOC additions to schema.yml, zero runtime code changes. Tests: extend tests/test_parquet_sync.py::test_typed_seed_creates_column_types_from_schema_yml to cover each of the four newly-typed seeds. Not blocking — current untyped fallback works correctly. Priority: medium (foundational hardening, not a user-visible bug)."
83,"S2T deploy parser strips all 'S' chars, crashes on modern S2T-NNNN ID scheme","Create S2T deploy flow in app/pages/Business_Glossary.py:1446 uses an unanchored string-strip to parse the max existing s2t_mapping.id: `lambda x: int(x.replace('S', '')) if x.startswith('S') else 0`. replace('S', '') removes EVERY 'S' character, not just a leading prefix. Works for the legacy SNNN scheme (S037 → '037' → 37) but raises on any ID with 'S' anywhere after the first char. Modern scope-confirmation stubs use the S2T-NNNN scheme (e.g., S2T-0001 per scripts/_scope_derivation.py): 'S2T-0001'.replace('S', '') = '2T-0001' → int('2T-0001') → ValueError: invalid literal for int() with base 10: '2T-0001'. The deploy bails at Step a before writing; rollback is clean. Today's s2t_mapping.csv has 45 rows mixing three schemes: 33 legacy SNNN (S001-S045-ish), 7 term-prefixed BG028-NN, and 5 modern S2T-NNNN (BG027's stubs). Deploying any term whose scope-stub IDs follow the modern scheme trips the parser on first read. Secondary issue: the row-writer at line 1455 formats new IDs with the legacy `S{N:03d}` template. Even after a parser fix, newly-written rows would add to the legacy scheme rather than align with scope_derivation's S2T-NNNN stubs, perpetuating the mixed-scheme drift. Discovered 2026-04-24 during BG027 first deploy attempt. deploy_debug.log 15:39:55 captures the exact ValueError + clean rollback.",resolved,high,2026-04-24,2026-04-24,"Fixed by commit e91bd7d. (1) New helper app/_s2t_tab_helpers.extract_trailing_digits(x) uses regex (\d+)$ to pull trailing digits from any ID regardless of prefix: SNNN, S2T-NNNN, BG028-NN, or any other scheme. Returns 0 for IDs without trailing digits. (2) Business_Glossary.py:1444 replaces the buggy lambda with the helper, resolving the ValueError. (3) Row-writer at line 1455 updated to format new IDs as `S2T-{N:04d}` to align with scope_derivation's stub scheme. Max-based N prevents collision with any existing ID regardless of scheme (new IDs always numerically exceed the global max). (4) Regression test tests/test_s2t_tab_helpers.py covers: mixed-scheme CSV (SNNN + S2T-NNNN + BG028-NN) → parser picks correct global max; new IDs generated as S2T-NNNN and don't collide with any existing ID."
84,"Deploy auto-retry classifier only handles Binder column-not-found; broader SQL failures (IO spill, syntax, type mismatch) skip retry and roll back unrecoverably","Create S2T deploy's auto-retry mechanism (introduced 2026-04-18 in commit 41a78f7) is scoped narrow to DuckDB Binder column-not-found errors only. Classifier pattern: `Referenced column ""X"" not found`. Any failure outside that — IO errors, Parser/syntax errors, Catalog/table-not-found, type-conversion errors, memory spills — falls through `_log('error not a parseable Binder error — skipping retry')` at Business_Glossary.py:1655, breaks out of the retry loop, and rolls back immediately. The user must restart the entire deploy (Create S2T → review → click Deploy again) to try a different SQL. Surfaced 2026-04-24 by BG027's deploy attempt. LLM-generated SQL joined equi×mseg on shared MATNR (material-master ID), producing a ~300M+ intermediate-row cartesian. DuckDB spilled, failed with IO Error on a Windows temp-directory path. Classifier saw no Binder signature, declined retry, rolled back. Deploy is one-shot for any non-Binder failure mode. Repair function app/claude_api.repair_dbt_model_sql accepts free-form dbt_error_text already; the gate preventing it from being called on non-Binder errors is entirely in the classifier. Prompt could take a class-specific hint to steer repair (e.g., 'IO spill → examine JOIN cardinality' vs 'Binder column → pick from candidates') but currently doesn't.",resolved,high,2026-04-24,2026-04-24,"Option B — classifier widening + error-class hint mapping. Fixed by commit bb67e3a. (1) New helper app/_s2t_tab_helpers.classify_dbt_error(err_text) returns dict with should_retry, hint, failed_col, candidates, failed_model. Covers 8 classes: timeout (no retry), empty (generic retry), Binder column-not-found (narrow), Catalog/table-not-found, Parser/syntax, Type/conversion, IO/spill/OOM, unknown catch-all. (2) app/claude_api.repair_dbt_model_sql accepts optional error_hint parameter — injected into user prompt before the raw error text. System prompt widened to describe all repair classes (not Binder-only). (3) Business_Glossary.py Step d replaces _parse_binder_error + `if not failed_col: break` with classify_dbt_error + `if not should_retry: break`. Hint threaded through to repair call. (4) Tests: 8 tests in test_s2t_tab_helpers.py — one per error class — assert should_retry, hint presence, and extraction of failed_col where applicable. Not a full fix for BG027 specifically: the MATNR-cartesian SQL may or may not be repaired by the LLM even with the cardinality hint, because the repair call lacks empirical cardinality evidence (grain_relationship analyzer's 'skipped — no shared numeric columns' — to be addressed separately in known_issue #85). This fix unblocks retry for the failure CLASS; #85 addresses the content of the repair evidence."
92,Validator cardinality coverage gap on bridge-intermediary tables,"The S2T cardinality validator gates only on cardinality DARs that exist for the pair in payload['join_path']. When propose_scope's analyzer scope omits a table that the LLM uses as a bridge intermediary or terminus, that pair has no DARs and the validator silently passes. Surfaced in Step C BG027 verification (2026-04-25): the join_cardinality analyzer ran on --tables equi,mseg,mkpf,objk,mard, so pairs objk<->seri and seri<->mseg have no DARs. The LLM proposed a SERI-bridged join_path and the validator could not gate on those legs (it correctly didn't, since no evidence existed). LLM choice happened to be empirically correct (SERI bridge is per_record_key per DAR-00328 measured during the equi<->mseg pair analysis), so no harm. But a hostile or mistaken LLM proposing a bad join through a bridge-only intermediary would not be caught. Severity: low — direct enumeration covers same-pair candidates and the LLM tends to choose evidence-backed paths. The validator work is functionally complete; this is forward hardening.",resolved,low,2026-04-25,2026-04-25,"Closed by the lazy-analysis follow-up commit. scripts/_s2t_cardinality_validator.trigger_lazy_analysis invokes scripts/run_join_cardinality_analysis.analyze_pair(conn, t1, t2, all_tables) when validate_s2t_sql encounters a join whose pair has no cardinality DAR. After analyze_pair appends to dbt/seeds/domain_analysis_results.csv, the validator refreshes the in-DB main_seeds.domain_analysis_results table from the CSV and re-looks up — so the just-emitted DAR is queryable in the same call. Verified by BG027 e2e: validator hit objk<->seri and seri<->mseg pairs without DARs, triggered lazy analysis (~30-60s per pair), captured the new DARs, and the SQL passed validation. Cost is the lazy-analysis latency the issue called out; closes the gap that #92 named. Tests: tests/test_s2t_cardinality_validator.py covers test_lazy_analysis_triggered_on_missing_dar (call site fires) and test_lazy_analysis_persists_dar_then_revalidates (post-trigger re-lookup catches the new DAR)."
93,Term-analysis DAR loader LIMIT 50 saturated by recent join_cardinality DARs - EDA-analyzer DARs hidden from production bundles,"scripts/_context_assembler.py:_load_dynamic pulls non-superseded DARs via SELECT ... FROM main_seeds.domain_analysis_results WHERE superseded_by IS NULL OR superseded_by = '' ORDER BY executed_at_utc DESC LIMIT 50 (line ~974). Today's 251 active join_cardinality DARs (emitted by the recent lazy cardinality-analysis work, all very recent) saturate the top-50 window completely - verified 2026-04-26 by direct query: the top-50 most-recent active DARs are 100% join_cardinality success rows. As a result, the 36 active skipped + 5 active error + ~80 active success EDA-analyzer DARs (completeness/dimensions/magnitude/code_tables/temporal_coverage/segmentation_threshold/grain_relationship/performance_baseline/schema_discovery) NEVER reach the term-analysis bundle today. join_cardinality is also rendered SEPARATELY in the dedicated cardinality block at L962-966 so it's effectively double-counted: once as the prominent block, once as the entire generic DAR dump. Discovered 2026-04-26 during Theme 1 C1 smoke test: BG027 bundle for scope=[equi,mseg,mkpf,objk,mard] returned 48 matched DARs but ZERO STATUS=SKIPPED/ERROR markers because DAR-00107 (mard temporal_coverage skipped) and 13 other active skipped DARs in scope all fell outside the LIMIT-50 window. Synthetic verification (join_cardinality filtered from in-memory copy) showed 14 STATUS=SKIPPED + 3 STATUS=ERROR render correctly - proving the C1 logic itself is sound. Impact: nullifies the production value of Theme 1 sub-items 3, 4, and 5 (deterministic-analyzer directives, skipped-DAR semantics, Stage A blocker surfacing) until the loader window is widened or partitioned. Pre-existing issue exposed by recent join_cardinality emission volume.",resolved,high,2026-04-26,2026-04-26,"Resolved via Option (a): scripts/_context_assembler.py:_load_dynamic now adds AND analysis_type != 'join_cardinality' to the DAR SELECT WHERE clause for purpose in ('create_s2t', 'pre_s2t_reasoning') only. Conditional gating mirrors the dedicated cardinality block's gating at L962 - for non-CS2T purposes (which have no dedicated cardinality block), the generic dump preserves cardinality rows so evidence isn't lost. Same change applied to the id-less fallback SELECT at L982-987. Cardinality DARs continue to flow through their dedicated path (_load_create_s2t_cardinality / _render_join_cardinality_block) which uses its own SELECT scoped to analysis_type='join_cardinality'. Verified end-to-end on real seed: BG027 bundle now surfaces 29 in-scope EDA-analyzer DARs (was 0 pre-fix), including 14 STATUS=SKIPPED + 3 STATUS=ERROR rendered with C1's directive-taught semantics. Bundle size dropped from 12573 to 8568 tokens (duplicate cardinality content removed). Tests: 4 new cases in tests/test_context_assembler.py (T1 filter active for create_s2t, T1b cardinality preserved for non-CS2T purposes, T2 dedicated block regression-guarded, T3 end-to-end skipped/error visibility). Option (b) partition-by-analysis_type deferred (filed contingent in #95 if 50/134 EDA coverage proves operationally insufficient). Option (c)/(d) rejected as token-bloated / over-engineered. Scope-aware ordering (Option beta) investigated separately and BLOCKED - filed as #94 (deferred) with reframed scope: 'only valuable after cardinality removed from generic dump'."
94,Scope-aware ordering for the term-analysis DAR loader (Option beta) - deferred follow-up to #93,"During #93 fix design, scope-aware ORDER BY was investigated as Option beta: replace LIMIT 50 ORDER BY executed_at_utc DESC with a scope-overlap-first prioritization (rows whose source_tables overlap the term scope rank above non-overlapping rows; recency within priority). Premise: terms get the most relevant DARs even if the saturation pool is large. B1-B4 feasibility (2026-04-26) found beta BLOCKED in current state because cardinality DARs themselves overlap typical CPE term scopes (mseg in particular). For BG027: 311 scope-overlap DARs of which 249 cardinality; beta alone surfaces 50/0 cardinality vs 50/62 EDA under Option alpha (strictly worse). Same for BG007 (49/1 vs 47/47). Beta is tied with alpha for terms whose scope is cardinality-disjoint (BG028 36/36, BG001 29/29). Reframed scope post-#93: beta is only meaningful AFTER cardinality is removed from the generic dump - then beta would refine WHICH 50 of the remaining EDA DARs surface for terms with >50 in-scope EDA (today only BG027 with 62 in-scope EDA hits this; 12 DARs from older 11:27 batch tail get aged out). Marginal value over alpha alone. Defer until either (a) operational evidence shows the 12-DAR loss matters for a specific term, or (b) more terms grow >50 in-scope EDA as the EDA coverage expands. Implementation sketch (B3): ORDER BY CASE WHEN len(list_intersect(string_split(LOWER(source_tables), ','), ?::VARCHAR[])) > 0 THEN 0 ELSE 1 END, executed_at_utc DESC. ~8 LOC across two SELECTs in _load_dynamic. Requires scope param binding.",open,low,2026-04-26,,Defer until operational evidence emerges that >50 EDA-DAR scope saturation is hurting a specific term's S2T quality. Single-line ORDER BY change once ready. See B1-B4 feasibility report and decision #79 for rationale.
95,LIMIT-50 generic DAR cap silently starves entire scope tables when batches run on a subset of scope,"Discovered 2026-04-26 during step 4 of Theme 1 (post-C1 + post-#93 verification). For BG027's scope (equi/mseg/mkpf/objk/mard), 12 in-scope EDA DARs sit at ranks 51-62 and never reach the bundle. 11 of the 12 are mard rows; the 12th is objk performance_baseline. All 12 are status-active (non-superseded). Cross-referenced against the top-50 surfacing rows: 12 of 12 are UNIQUE - no row in the top-50 covers the same (analysis_type, source_tables) pair.

Mechanism: the 2026-04-25 EDA batch re-ran analyzers on equi/mseg/mkpf/objk only. mard was excluded from the re-run. The 2026-04-24 mard rows are still active (the only mard rows in the seed) but they lose to the 2026-04-25 batch on executed_at_utc DESC ordering when LIMIT 50 is applied. Result: BG027's term-analysis bundle today carries zero empirical evidence on mard.

Most load-bearing miss: DAR-00109 is mard's schema_discovery DAR with PK/FK candidates linking MARD to MARA, T001W, etc. It is the ground-truth join-key evidence for any term joining MARD. Theme 1 sub-item 3 (C2) is about to teach the LLM to consume schema_discovery FK candidates as authoritative; without DAR-00109 reaching the bundle, that directive silently fails on MARD joins for BG027.

Other dropped DARs (full inventory):
- DAR-00109 mard schema_discovery (load-bearing - see above)
- DAR-00127 mard completeness (null patterns on LABST/MEINS)
- DAR-00128 mard dimensions
- DAR-00129 mard magnitude (stock-quantity distribution)
- DAR-00130/131/132 mard performance_baseline (3 numeric cols)
- DAR-00133 mard code_tables
- DAR-00108 mard segmentation_threshold
- DAR-00107 mard temporal_coverage (skipped - original signal that triggered C1)
- DAR-00135 equi x mard grain_relationship (skipped)
- DAR-00125 objk performance_baseline

Recommended fix shape: partition-by-analysis_type does NOT solve this - starvation is per-source_table, not per-analysis_type. Better shapes: (a) per-(analysis_type, source_tables)-pair surfacing - every active pair gets at least one row regardless of recency, with ~45 BG027 pairs comfortably below LIMIT 50; (b) partition by source_tables - guarantee N slots per scope table.

Workaround: re-run EDA on the FULL scope (not just missing tables) so all rows share matching timestamps. Single-table re-runs make the problem worse - they evict whichever scope tables aren't in the new run.

Cross-references: residual shortfall after #93/alpha (which removed cardinality saturation but not per-table starvation); related to #73 (DAR supersede was the root-cause class - old non-superseded rows linger and interact with LIMIT-50 cuts).",open,medium,2026-04-26,,
96,"Silent bundle truncation by _truncate(content, budget) can evict load-bearing rows without surfacing the loss to the LLM or runner.","_context_assembler.py:_load_dynamic uses _truncate(content, budget) to enforce the dynamic-layer token budget. Truncation tail-cuts content with no logging, no warning, and no signal to downstream consumers. When the loader's row count and the renderer's per-row cost combine to produce a content size exceeding budget, arbitrary tail content is silently dropped. The LLM may emit attestation echoes (dar_consumed, etc.) for IDs that appeared in the bundle assembly but were truncated before reaching the rendered output - passing the runner's null-attestation hard-stop while operating on incomplete evidence.

Discovered during BG027 smoke testing of #95: pre-compaction the bundle hit 25K tokens against a 12K dynamic budget for pre_s2t_reasoning; truncation evicted DAR-00109 (the load-bearing miss #95 was designed to recover). Compaction (#95's schema_discovery handling) addressed the immediate driver, but the truncation pathology itself remains: any future bloat (more analyzer types, larger scopes, richer TAR content) will silently truncate again with no signal. Even post-#95 BG027 hits the cap by ~240 tokens with the TAR section's last query interpretation getting trimmed - currently in low-stakes prose tail content but the mechanism is the same one that hid DAR-00109 pre-compaction.

Pre-existing condition that has been silently active since at least #93. Prior measurements (""post-#93 BG027 measurement: 50/62 in-scope EDA DARs reach the bundle"") measured loader output, not what actually reached the LLM after truncation.",resolved,medium,2026-04-26,2026-05-05,"Resolved by commit bfc7b4f (2026-04-26) — minimal observability piece shipped before the demo: _truncate now writes a stderr warning when truncation fires AND appends a visible '[BUNDLE WARNING: N chars truncated to fit B-token budget; LLM operating on incomplete evidence]' footer into the rendered content, so the LLM operates on visibly-incomplete evidence rather than silently tail-cut content. Centralised in _truncate so all 7 layer call sites (static, dynamic, TAR, ontology, examples, business, archived) get coverage for free. The fuller design pass (budget-aware section ordering + budget-aware row count in loaders, fix-shapes 2 and 3 from the original recommendation) was intentionally deferred — that is architecture work adjacent to the term-analysis runner (budget allocation policy, section priority, loader cooperation) and would be throwaway against its bundle redesign. Closing as ghost-resolved on the actionable scope; deferred design absorbs into the runner's redesign scope. Confirmed at scripts/_context_assembler.py:499-528."
97,"create_s2t static layer overflows budget by ~979 tokens (pre-existing, surfaced during #95 fix-up budget audit)","scripts/_context_assembler.py:_load_static renders the static layer (Layer A semantic_model) at ~8479 tokens for BG027 under purpose=create_s2t against a 7500-token static budget — 979-token overrun. Pre-existing condition, not caused by #95 or its fix-up. Root cause: create_s2t's static rendering preserves Jinja `{{ ref() }}` expressions in dbt_semantic_model.reference_sql (per #93's gating decision), which expands the rendered footprint vs pre_s2t_reasoning's literal-refs path (which renders 6744 tokens for the same content under the same budget).

Sub-finding from the #95 fix-up smoke: this overflow is NOT caught by the new #96 minimal logging in `_truncate`. Reason: `_truncate` uses a chars-heuristic gate (`if len(content) <= budget * 4: return content`) that skips truncation when chars are under the heuristic ceiling even if actual token count exceeds budget. For BG027/create_s2t/static: 26968 chars < 30000 (=7500*4), so `_truncate` returns content unchanged with no warning. Token-level overage is silent at the loader level. The downstream `assemble_context` consumers would see a static-layer payload that exceeds its budgeted share.

Same family as #96 (silent budget pathology) but a different mechanism: #96 is silent tail-cut when truncation does fire; #97 is silent overflow when truncation doesn't fire because the chars heuristic spared it.

Recommended fix shapes (escalating ambition): (a) compact reference_sql rendering similar to schema_discovery's compact form (drop Jinja-expanded preamble); (b) tighten `_truncate`'s chars heuristic OR replace with token-count-based gate (chars*4 underestimates Jinja-heavy content); (c) budget redistribution for create_s2t (similar to pre_s2t_reasoning fix in this fix-up commit); (d) raise create_s2t static budget directly. Prioritise after Theme 1 sub-items 3 + 1+2 + 5 land — schema_discovery rendering is production-correct for pre_s2t_reasoning today, which is the main C2 consumer.",open,medium,2026-04-26,,
98,Cardinality analyzer validates bridge fanout but not filter-column reachability through bridges,"Surfaced 2026-04-26 during BG027 scope_mismatch investigation post-attestation-fix. The schema_discovery and join_cardinality analyzers test whether a join is fanout-safe (e.g., DAR-00328 confirmed seri-mseg is 1:1 per_record_key) but do not decompose join coverage by downstream filter columns. Result: a bridge can be cardinality-validated as safe yet structurally unable to reach certain filter values. For BG027 (term: cpe_active_deployed_count), the seri-mseg bridge only reaches BWART='101' (Goods Receipt) movements; no per-serial linkage exists for BWART='201' (deployment) movements. The LLM correctly applied the validated bridge, applied the term's BWART='201' filter, and got zero rows - empirically correct given data, but undetectable from existing DAR evidence alone. Recommended fix shape: extend cardinality analyzer to emit reachability evidence per bridge - for each frequently-filtered column (BWART, status codes, type codes), report which values are reachable through the bridge in the seeded data. Estimated 50-80 LOC in scripts/eda/join_cardinality.py-equivalent + DAR rendering changes. Worth filing as Stage F+ scope; not a Theme 1 sub-item.",closed,medium,2026-04-26,2026-04-28,"Closed by Option B Stage (commits 70b90a2, 83e133a, d64773f, 856eb8e) plus C5 closure (commits 8b8a701, 451e3b4, 4c4db9f, this commit). Analyzer produces per-FK-pair filter reachability DARs (6 for BG027 scope: DAR-00523 through DAR-00528); runtime gate consumes them with sqlglot column-lineage through CTE projections; directive teaches the iteration LLM to consult them and attest via bridge_coverage_consulted; UI surfaces the result + reachability violations + DAR citations to analysts in the Business Glossary Detail tab. End-to-end usefulness validated against BG027 (BAR-00007, SCENARIO ALPHA, $0.481): 5 reachability-focused recommendations (3 verified Case A: EQUZ/ILOA/IFLOT; 2 divergence_warning Case C: EQBS/SER03)."
99,BG027 (cpe_active_deployed_count) structurally unanswerable in seeded SAP sample,"Discovered 2026-04-26 during post-attestation-fix BG027 run (BAR-00003, hard_stop_scope_mismatch). The term cannot be answered from the confirmed scope [equi, mkpf, mseg, objk, seri] because the data model lacks any deployment-movement-to-serial bridge. Specifically: seri.MBLNR only references BWART='101' Goods Receipt movements; deployment movements (BWART='201') exist in mseg at material-grain only (mseg.SERNP = sentinel 'HT01' across all 32K rows). Stage A's confirmed scope is correct given available DAR evidence - DAR-00328 validated bridge cardinality but not BWART reachability (see related issue on bridge_coverage_by_filter analyzer gap). This is a data-model limitation, not a Theme 1 defect. Pre-Theme-1 baseline silently produced ""0"" as the answer. Post-Theme-1 + post-attestation-fix correctly identifies the gap and refuses to ship the wrong number - exactly the audit-discipline value proposition. For demo purposes: pivoting to Candidate 3 (PO-without-GR aging) which uses tables [ekko, ekpo, ekbe, mseg, mkpf] where bridges have full filter coverage. Pursuing C5 (sourcing recommendations on unanswerable terms) so the system not only refuses bad SQL but tells the analyst what to ingest to make the term answerable.",closed,low,2026-04-26,2026-04-28,Closed at the system-behavior level: BG027 now produces actionable analyst output (status=needs_data_extension with sourcing recommendations) instead of silent failures or wrong SQL. The underlying data limitation (no per-serial deployment evidence in seeded scope) is itself unchanged — that's an analyst-domain decision (extend scope to EQUZ/IFLOT/ILOA per recommendations from BAR-00007). The system-behavior issue we filed is fixed: closure chain commits 70b90a2 + 83e133a + d64773f + 856eb8e (Option B) + 8b8a701 + 451e3b4 + 4c4db9f + this commit (C5).
